rawMtrl,allergy,isCrossReact,probablility
닭살,null,0,null
닭갈비맛분말,null,0,null
그릴닭가슴살용염지제,null,0,null
핵불닭볶음면소스,null,0,null
비비고닭곰탕육수,null,0,null
닭날개,null,0,null
국물진한닭발육수,null,0,null
닭육수분말,null,0,null
베베닭고기,null,0,null
닭고기,null,0,null
조미닭후레이크,null,0,null
갈릭닭가슴살용염지제,null,0,null
닭고기맛베이스,null,0,null
닭다리형펠렛,null,0,null
아임닭가슴살시즈닝,null,0,null
무항생제닭고기,null,0,null
닭갈비소스,null,0,null
대두함유,대두,false,null
유기농탈지대두,대두,false,null
탈지대두후레이크,대두,false,null
탈지대두단백,대두,false,null
탈지대두분,대두,false,null
알피탈지대두분,대두,false,null
탈지대두분말,대두,false,null
알파탈지대두분,대두,false,null
볶음탈지대두분,대두,false,null
탈지대두인도산,대두,false,null
탈지대두,대두,false,null
분리대두단백,대두,false,null
분리대두단백너겟,대두,false,null
대두이소플라본,대두,false,null
대듀,대두,false,null
대두함유,대두,false,null
대두포함,대두,false,null
부분경화대두유,대두,false,null
정제대두유,대두,false,null
대두유,대두,false,null
경화대두유,대두,false,null
대두유액,대두,false,null
유기농대두유,대두,false,null
유기대두유,대두,false,null
대두유혼합제제,대두,false,null
대두볼,대두,false,null
부분경화대두유,대두,false,null
볶음대두분,대두,false,null
수용성대두다당류,대두,false,null
대두분등,대두,false,null
대두액,대두,false,null
조직농축대두단백,대두,false,null
대두재래된장,대두,false,null
대두단백분발,대두,false,null
대두응고제,대두,false,null
대두다낵,대두,false,null
대두단백후레이크,대두,false,null
대두형,대두,false,null
미트프로엠대두단백,대두,false,null
조미대두단백,대두,false,null
대두산백,대두,false,null
대두함유,대두,false,null
찐대두분,대두,false,null
대두조직단백,대두,false,null
대두인지질,대두,false,null
조직화대두단백,대두,false,null
콩단백발효액대두,대두,false,null
발효대두추출혼합분말,대두,false,null
유기농탈지대두,대두,false,null
찐대두분말,대두,false,null
대두분리단백,대두,false,null
탈지대두후레이크,대두,false,null
탈지대두단백,대두,false,null
대두분리단백너겟,대두,false,null
대두고형분,대두,false,null
볶음대두분말,대두,false,null
대두화이바,대두,false,null
무농약대두분,대두,false,null
탈지대두분,대두,false,null
대두분,대두,false,null
분리대두단백,대두,false,null
대두콩,대두,false,null
정제대두유,대두,false,null
건조대두단백,대두,false,null
대두단백분말,대두,false,null
대두경화유,대두,false,null
알피탈지대두분,대두,false,null
무농약대두,대두,false,null
발효대두페이스트,대두,false,null
탈지대두분말,대두,false,null
미배아대두발효추출물,대두,false,null
대두너겟,대두,false,null
대두유,대두,false,null
양파대두단백,대두,false,null
대두에스테르화유,대두,false,null
대두추출물분말,대두,false,null
간장대두,대두,false,null
대두,대두,false,null
대두당백,대두,false,null
경화대두유,대두,false,null
알파탈지대두분,대두,false,null
대두다당,대두,false,null
농출대두단백,대두,false,null
대두유액,대두,false,null
대두볶음콩가루,대두,false,null
대두레시틴,대두,false,null
입자성대두단백,대두,false,null
가수분해대두단백,대두,false,null
대두분말,대두,false,null
대두식이섬유결정과당,대두,false,null
유기농대두,대두,false,null
농축대두단백월콘에스제이,대두,false,null
대두조직단백질,대두,false,null
조직대두단백,대두,false,null
대두펩타이드,대두,false,null
대두가루,대두,false,null
대두레시틴분말,대두,false,null
알파대두분,대두,false,null
대두화이버,대두,false,null
유기농대두유,대두,false,null
농추대두단백,대두,false,null
농축대두단백,대두,false,null
대두볶음분말,대두,false,null
대두난백,대두,false,null
대두식이섬유,대두,false,null
볶음탈지대두분,대두,false,null
대두리세틴,대두,false,null
입상대두단백,대두,false,null
가수분해대두단백질,대두,false,null
탈지대두인도산,대두,false,null
탈지대두,대두,false,null
유기대두유,대두,false,null
대두다당유,대두,false,null
대두이소플라본,대두,false,null
볶은대두분말,대두,false,null
대두류,대두,false,null
대두유혼합제제,대두,false,null
대두다당류,대두,false,null
분리대두단백너겟,대두,false,null
볶은대두분,대두,false,null
부리대두단백,대두,false,null
국산대두,대두,false,null
대두발효펩타이드,대두,false,null
대두단백,대두,false,null
발아적두,대두,false,null
적두설기,대두,false,null
적두,대두,false,null
타요견과,대두,false,null
콩발효맛내기진,대두,false,null
배합땅콩,대두,false,null
콩발효농축액,대두,false,null
김치맛콩나물분말,대두,false,null
분말콩국,대두,false,null
볶은검정콩,대두,false,null
땅콩향,대두,false,null
생콩가루,대두,false,null
튀김땅콩,대두,false,null
렌틸콩분말,대두,false,null
콩이온엿,대두,false,null
검은콩나또,대두,false,null
볶음분태땅콩,대두,false,null
볶은콩,대두,false,null
구운검은콩,대두,false,null
흰콩,대두,false,null
검은콩농축액,대두,false,null
땅콩가공분,대두,false,null
적강낭콩,대두,false,null
유기농콩,대두,false,null
완두콩꼬마새송이야채절임,대두,false,null
식물성콩발효베이스,대두,false,null
강남콩,대두,false,null
볶은콩가루,대두,false,null
로커스트콩검,대두,false,null
현미귀리퀴노아렌틸콩혼합분말,대두,false,null
볶음알땅콩,대두,false,null
약콩,대두,false,null
콩고물크림,대두,false,null
볶은콩눈,대두,false,null
동결건조완두콩,대두,false,null
콩고물호두,대두,false,null
콩향키베이스,대두,false,null
검정콩,대두,false,null
검정콩보리밥,대두,false,null
검은콩추출물,대두,false,null
콩단백발효물,대두,false,null
작두콩,대두,false,null
안동검은콩낫또,대두,false,null
밤콩,대두,false,null
검은콩분말,대두,false,null
검은콩향,대두,false,null
땅콩코팅분태,대두,false,null
땅콩유,대두,false,null
고추장용콩메주,대두,false,null
볶은콩향,대두,false,null
우리콩메주,대두,false,null
스키피땅콩버터,대두,false,null
땅콩가루,대두,false,null
조검정콩,대두,false,null
콩단백발효액대두,대두,false,null
구운땅콩,대두,false,null
랜틸콩분말,대두,false,null
자연숙성콩발효맛내기,대두,false,null
우리콩양조원액,대두,false,null
조미콩단백,대두,false,null
땅콩버터향,대두,false,null
콩초코스위트,대두,false,null
일반콩가루,대두,false,null
초코땅콩,대두,false,null
매실콩발효액,대두,false,null
강낭콩,대두,false,null
콩식용유,대두,false,null
유기농쥐눈이콩,대두,false,null
검은콩추출액,대두,false,null
하이올레익볶음땅콩,대두,false,null
볶음렌틸콩,대두,false,null
완두콩,대두,false,null
콩발효맛내기분말,대두,false,null
볶은렌틸콩가루,대두,false,null
콩나물추출농축액,대두,false,null
대두콩,대두,false,null
땅콩계란,대두,false,null
콩,대두,false,null
초코크림땅콩분말,대두,false,null
가염땅콩페이스트,대두,false,null
땅콩강정,대두,false,null
크리미땅콩버터,대두,false,null
알땅콩,대두,false,null
동결건조검은콩,대두,false,null
볶음땅콩,대두,false,null
국산콩된장,대두,false,null
땅콩오일,대두,false,null
국산콩가루,대두,false,null
발아약콩,대두,false,null
땅콩,대두,false,null
콩과당,대두,false,null
볶음콩베이스분말,대두,false,null
콩향,대두,false,null
메주콩,대두,false,null
콩발효추출분물,대두,false,null
콩가루,대두,false,null
구운렌틸콩,대두,false,null
이가네볶음콩가루,대두,false,null
땅콩볶음분,대두,false,null
볶음땅콩분말,대두,false,null
콩고물,대두,false,null
자연콩발효액,대두,false,null
렌즈콩,대두,false,null
땅콩혼합분말,대두,false,null
땅콩또는견과류가공품,대두,false,null
햇살콩국산두부,대두,false,null
구수한메주콩된장,대두,false,null
렌팅콩분말,대두,false,null
콩간장,대두,false,null
완두콩과립,대두,false,null
대두볶음콩가루,대두,false,null
콩단백분말,대두,false,null
콩고물가루,대두,false,null
코팅땅콩반태,대두,false,null
콩발효추출물분말,대두,false,null
완두콩퓨레,대두,false,null
콩기름,대두,false,null
녹차와사비완두콩,대두,false,null
호경콩단백,대두,false,null
해찬들콩발효메주된장,대두,false,null
콩나물추출물분말,대두,false,null
콩발효맛내기,대두,false,null
강낭콩앙금,대두,false,null
땅콩소보루,대두,false,null
국산콩메주,대두,false,null
렌틸콩생나또,대두,false,null
배합땅콩버터,대두,false,null
발아약콩분말,대두,false,null
건완두콩,대두,false,null
검은콩가루,대두,false,null
볶은렌틸콩,대두,false,null
땅콩분,대두,false,null
땅콩전지,대두,false,null
로커스트콩염,대두,false,null
로코스트콩검,대두,false,null
볶음콩가루,대두,false,null
병아리콩볶음,대두,false,null
렌탈콩,대두,false,null
땅콩맛크림,대두,false,null
새우땅콩볼,대두,false,null
땅콩분말,대두,false,null
율무땅콩,대두,false,null
